Year,Month,Day,Longitude,Latitude,ProfileNumber,Dataset,DO_mean(umol/kg),DO_min(umol/kg),DO_max(umol/kg),Depth_min(m),Depth_max(m)
1980.0,2.0,21.0,145.0,31.4667,229342.0,WOD_OSD,171.16785403660364,40.08440017700195,233.5352020263672,0.0,1980.0
1980.0,2.0,21.0,150.68,37.0,361246.0,Hydrobase3,229.14285714285714,217.7,232.1,0.0,250.0
1980.0,2.0,21.0,150.6833,37.0,229323.0,WOD_OSD,223.94979422433036,182.99398803710938,233.0994873046875,0.0,506.0
1980.0,2.0,21.0,151.45,37.0,229339.0,WOD_OSD,217.10307965959822,153.80209350585938,238.32789611816406,0.0,520.0
1980.0,2.0,21.0,151.45,37.0,361247.0,Hydrobase3,228.8625,211.1,236.4,0.0,250.0
1980.0,2.0,22.0,144.95,32.5167,229358.0,WOD_OSD,172.81729125976562,48.79840087890625,241.81350708007812,0.0,1724.0
1980.0,2.0,22.0,145.0,33.0167,229371.0,WOD_OSD,176.31326268513996,43.134300231933594,233.0994873046875,0.0,1684.0
1980.0,2.0,22.0,145.0,33.5,229376.0,WOD_OSD,174.59121295383997,44.005699157714844,233.5352020263672,0.0,2253.0
1980.0,2.0,22.0,145.0,34.0,229389.0,WOD_OSD,175.2758846282959,49.234100341796875,233.5352020263672,0.0,1686.0
1980.0,2.0,22.0,145.0167,31.9667,229403.0,WOD_OSD,164.73090680440268,50.105499267578125,231.7924041748047,0.0,1816.0
1980.0,2.0,22.0,145.0167,34.5,229399.0,WOD_OSD,175.8194709777832,48.79840087890625,236.58509826660156,0.0,1764.0
1980.0,2.0,22.0,152.6667,37.0,229352.0,WOD_OSD,221.2111053466797,91.06129455566406,256.6272888183594,0.0,612.0
1980.0,2.0,22.0,152.67,37.0,361297.0,Hydrobase3,249.6875,232.4,261.2,0.0,300.0
1980.0,2.0,23.0,145.0,35.5,229417.0,WOD_OSD,178.4813938140869,48.79840087890625,233.5352020263672,0.0,1898.0
1980.0,2.0,23.0,145.0,36.0,229425.0,WOD_OSD,160.93668580055237,44.44139862060547,233.5352020263672,0.0,1654.0
1980.0,2.0,23.0,145.0,36.5,229432.0,WOD_OSD,161.64469964163644,45.31279754638672,234.40660095214844,0.0,1509.0
1980.0,2.0,23.0,145.0,37.0,229439.0,WOD_OSD,179.65363032023112,60.99799728393555,246.17050170898438,0.0,1650.0
1980.0,2.0,23.0,145.0,37.5167,229447.0,WOD_OSD,174.2219039916992,48.79840087890625,237.4564971923828,0.0,1273.0
1980.0,2.0,23.0,145.0167,35.0,229408.0,WOD_OSD,182.99399693806967,53.59109878540039,231.356689453125,0.0,1649.0
1980.0,2.0,23.0,149.58,38.0,361334.0,Hydrobase3,224.78571428571428,217.7,229.5,0.0,250.0
1980.0,2.0,23.0,149.5833,38.0,229438.0,WOD_OSD,216.10719735281808,171.2301025390625,232.22808837890625,0.0,518.0
1980.0,2.0,23.0,150.8167,38.0,229423.0,WOD_OSD,212.62159729003906,94.1112060546875,250.52749633789062,0.0,553.0
1980.0,2.0,23.0,150.82,38.0,361335.0,Hydrobase3,239.7111111111111,198.4,261.2,0.0,300.0
1980.0,2.0,23.0,152.0,38.0,229410.0,WOD_OSD,218.4101845877511,166.00169372558594,253.14169311523438,0.0,533.0
1980.0,2.0,23.0,152.0,38.0,361336.0,Hydrobase3,233.9888888888889,166.6,261.2,0.0,300.0
1980.0,2.0,24.0,142.0,36.83,361374.0,Hydrobase3,203.6235294117647,46.5,272.0,0.0,1100.0
1980.0,2.0,24.0,142.0,36.833,361375.0,Hydrobase3,198.075,46.5,272.0,0.0,1185.0
1980.0,2.0,24.0,142.0,36.8333,229476.0,WOD_OSD,198.35242581367493,46.619903564453125,272.3125,0.0,1185.0
1980.0,2.0,24.0,142.98,36.82,361376.0,Hydrobase3,171.7263157894737,44.8,265.4,0.0,1100.0
1980.0,2.0,24.0,142.983,36.817,361377.0,Hydrobase3,173.98823529411766,44.8,265.4,0.0,1143.0
